loinc_code,concept_id,concept_name
1975-2,3024128,Total Bilirubin serum/plasma
1971-1,3007359,Indirect bilirubin serum/plasma
1968-7,3027597,Direct bilirubin serum/plasma
15283-5,3027300,Silver Birch IgE Ab [Units/volume] in Serum
30376-8,3005105,Blasts [#/volume] in Blood
26447-3,3025698,Blasts/100 leukocytes in Cerebral spinal fluid
600-7,3023368,Bacteria identified in Blood by Culture
881-3,3000437,ABO and Rh group [Type] in Serum or Plasma from Blood product unit
7152-2,3005788,Blueberry IgE Ab [Units/volume] in Serum
6050-9,3007315,Brazil Nut IgE Ab [Units/volume] in Serum
53290-3,3041417,Broad casts [#/area] in Urine by Computer assisted method
6054-1,3023864,Buckwheat IgE Ab [Units/volume] in Serum
7790-9,3005854,Burr cells [Presence] in Blood by Light microscopy
30522-7,3010156,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method
1988-5,3020460,C reactive protein [Mass/volume] in Serum or Plasma
13957-6,3009004,Clostridium difficile toxin A [Presence] in Stool by Immunoassay
34713-8,3032068,Clostridium difficile toxin A+B [Presence] in Stool
10895-1,3023270,Clostridium difficile toxin B [Presence] in Stool
5774-5,3006490,Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy
17861-6,3006906,Calcium serum/plasma serum/plasma
5773-7,3007501,Calcium carbonate crystals [Presence] in Urine sediment by Light microscopy
20570-8,3009542,Hematocrit
2500-7,3021044,Iron binding capacity [Mass/volume] in Serum or Plasma
6330-5,3020227,Campylobacter sp identified in Blood by Organism specific culture
2028-9,3015632,Carbon dioxide serum/plasma
20563-3,3023081,Carboxyhemoglobin % in blood
6062-4,3011897,Casein IgE Ab [Units/volume] in Serum
6718-1,3007015,Cashew Nut IgE Ab [Units/volume] in Serum
6833-8,3023430,Cat dander IgE Ab [Units/volume] in Serum
18225-3,3014029,Erythrocyte shape [Morphology] in Blood
53848-8,3042529,Mixed cellular casts [#/area] in Urine sediment by Microscopy high power field
2075-0,3014576,Chloride serum/plasma
2093-3,3027114,Cholesterol [Mass/volume] in Serum or Plasma
20569-0,3016311,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma
6075-6,3005136,Cladosporium herbarum IgE Ab [Units/volume] in Serum
6076-4,3000150,Clam IgE Ab [Units/volume] in Serum
11557-6,3013290,Carbon dioxide pressure in blood
6078-0,3001915,Cockroach IgE Ab [Units/volume] in Serum
6081-4,3005398,Coconut IgE Ab [Units/volume] in Serum
6082-2,3000876,Codfish IgE Ab [Units/volume] in Serum
5778-6,3027162,Color of Urine
6085-5,3001247,Common Ragweed IgE Ab [Units/volume] in Serum
6087-1,3034806,Corn IgE Ab [Units/volume] in Serum
12227-5,3001657,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood
2143-6,3009682,Cortisol [Mass/volume] in Serum or Plasma
9813-7,3025857,Cortisol [Mass/volume] in Serum or Plasma --AM peak specimen
9812-9,3023297,Cortisol [Mass/volume] in Serum or Plasma --PM trough specimen
5912-1,3017761,Creatine kinase isoenzymes [interpretation] in Serum or Plasma
6092-1,3019994,Crab IgE Ab [Units/volume] in Serum
2157-6,3007220,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma
32673-6,3029790,Creatine kinase.MB [Enzymatic activity/volume] in Serum or Plasma
2160-0,3016723,Creatinine serum/plasma
2161-8,3017250,Creatinine [Mass/volume] in Urine
14725-6,3020845,[Type] of Body fluid
611-4,3016727,Bacteria identified in Body fluid by Culture
630-4,3026008,Bacteria identified in Urine by Culture
43407-6,3043814,Bacteria identified in Wound deep by Culture
17915-0,3014137,Bacteria identified in Wound shallow by Aerobe culture
3520-4,3010375,Cyclosporine [Mass/volume] in Blood
5784-4,3027820,Cystine crystals [Presence] in Urine sediment by Light microscopy
48065-7,3051714,Fibrin D-dimer FEU
2193-1,3022000,Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma
6095-4,3036780,American house dust mite IgE Ab [Units/volume] in Serum
6096-2,3023351,European house dust mite IgE Ab [Units/volume] in Serum
58445-8,40761546,Manual differential comment [interpretation] in Blood Narrative
49024-3,3053331,Differential cell count method - Blood
1848-1,3002625,Androstanolone [Mass/volume] in Serum or Plasma
6098-8,3014133,Dog dander IgE Ab [Units/volume] in Serum
6099-6,3008136,Dog epithelium IgE Ab [Units/volume] in Serum
7792-5,3003715,Dohle body [Presence] in Blood by Light microscopy
53946-0,3038617,Escherichia coli shiga toxin Ag [Identifier] in Unspecified specimen
53946-0,3038617,Escherichia coli shiga toxin Ag [Identifier] in Unspecified specimen
7291-8,3018352,Whole Egg IgE Ab [Units/volume] in Serum
6106-9,3014599,Egg white IgE Ab [Units/volume] in Serum
6107-7,3015123,Egg yolk IgE Ab [Units/volume] in Serum
6109-3,3007757,White Elm IgE Ab [Units/volume] in Serum
6110-1,3014126,English Plantain IgE Ab [Units/volume] in Serum
29591-5,3016881,Enterovirus RNA [Presence] in Unspecified specimen by Probe and target amplification method
26450-7,3006504,Eosinophils %
26451-5,3022640,Eosinophils/100 leukocytes in Cerebral spinal fluid
45386-0,3043863,Epithelial casts [#/area] in Urine sediment by Microscopy high power field
35652-7,3036429,Epithelial cells/100 cells in Body fluid
2254-1,3027646,Estrogen [Mass/volume] in Serum or Plasma
41602-4,3033386,Bacteria [Presence] in Cerebral spinal fluid by Light microscopy
1557-8,3037187,Fasting glucose [Mass/volume] in Venous blood
33231-2,3029153,Fatty casts [#/area] in Urine by Computer assisted method
2276-4,3001122,Ferritin [Mass/volume] in Serum or Plasma
3255-7,3016407,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay
10335-8,3038077,Color of Cerebral spinal fluid
2283-0,3035569,Folate [Mass/volume] in Red Blood Cells
2284-8,3036987,Folate [Mass/volume] in Serum or Plasma
32215-6,3000551,Thyroxine (T4) free index in Serum or Plasma by calculation
3024-7,3008598,Thyroxine (T4) free [Mass/volume] in Serum or Plasma
15067-2,3023323,Follitropin [Units/volume] in Serum or Plasma
55305-7,40758434,Fungus [Presence] in Unspecified specimen by KOH preparation
75263-4,44817152,Blood group antibody screen [Presence] in Serum or Plasma by GEL
2324-2,3026910,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma
5908-9,3018528,Platelets Giant [Presence] in Blood by Light microscopy
2336-6,3021886,Globulin [Mass/volume] in Serum
33914-3,3030354,Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)
2345-7,3004501,Glucose lab
2342-4,3022548,Glucose [Mass/volume] in Cerebral spinal fluid
2350-7,3020399,Glucose [Mass/volume] in Urine
6125-9,3028520,Gluten IgE Ab [Units/volume] in Serum
664-3,3037167,Microscopic observation [Identifier] in Unspecified specimen by Gram stain
46134-3,3047065,Granular casts [#/area] in Urine sediment by Microscopy high power field
31843-6,3013139,Helicobacter pylori Ag [Presence] in Stool
6136-6,3012932,Hazelnut IgE Ab [Units/volume] in Serum
2085-9,3007070,Cholesterol in HDL [Mass/volume] in Serum or Plasma
20570-8,3009542,Hematocrit
2335-8,3016251,Hemoglobin.gastrointestinal [Presence] in Stool
718-7,3000963,Hemoglobin
4548-4,3004410,Hemoglobin A1c (Glycated)
3271-4,3006792,LMW Heparin [Units/volume] in Platelet poor plasma by Chromogenic method
3274-8,3025684,Heparin unfractionated [Units/volume] in Platelet poor plasma by Chromogenic method
4546-8,3020428,Hemoglobin A/Hemoglobin.total in Blood
4552-6,3021009,Hemoglobin A2/Hemoglobin.total in Blood by Electrophoresis
4563-3,3001258,Hemoglobin C/Hemoglobin.total in Blood
57703-1,40760814,Hemoglobin disorders newborn screening comment-discussion
4569-0,3013179,Hemoglobin D/Hemoglobin.total in Blood
4575-7,3013530,Hemoglobin E/Hemoglobin.total in Blood
4575-7,3013530,Hemoglobin E/Hemoglobin.total in Blood
4575-7,3013530,Hemoglobin E/Hemoglobin.total in Blood
4575-7,3013530,Hemoglobin E/Hemoglobin.total in Blood
4576-5,3018738,Hemoglobin F/Hemoglobin.total in Blood
4576-5,3018738,Hemoglobin F/Hemoglobin.total in Blood
4576-5,3018738,Hemoglobin F/Hemoglobin.total in Blood
4576-5,3018738,Hemoglobin F/Hemoglobin.total in Blood
4625-0,3005081,Hemoglobin S/Hemoglobin.total in Blood
7793-3,3002620,Howell-Jolly bodies [Presence] in Blood by Light microscopy
46135-0,3046561,Hyaline casts [#/area] in Urine sediment by Microscopy high power field
765-8,3007030,Neutrophils.hypersegmented [Presence] in Blood by Light microscopy
728-6,3021303,Hypochromia [Presence] in Blood by Light microscopy
2458-8,3007164,IgA [Mass/volume] in Serum or Plasma
2484-4,3013273,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma
51584-1,3040168,Immature granulocytes [#/volume] in Blood
19113-0,3005322,IgE [Units/volume] in Serum or Plasma
2462-0,3016604,IgE [Mass/volume] in Serum
2465-3,3005719,IgG [Mass/volume] in Serum or Plasma
2472-9,3028026,IgM [Mass/volume] in Serum or Plasma
53250-7,3042219,Influenza virus A RNA [#/volume] (viral load) in Unspecified specimen by Probe and target amplification method
40982-1,3038288,Influenza virus B RNA [Presence] in Unspecified specimen by Probe and target amplification method
6301-6,3022217,INR
3150-0,3020716,Oxygen concentration breathed
20448-7,3016244,Insulin [Units/volume] in Serum or Plasma
1994-3,3021119,Calcium.ionized [Moles/volume] in Blood
2498-4,3002400,Iron [Mass/volume] in Serum or Plasma
2502-3,3000185,Iron saturation [Mass Fraction] in Serum or Plasma
41276-7,3039000,Anion gap in Blood
6153-1,3005235,Kentucky blue grass IgE Ab [Units/volume] in Serum
2537-9,3005783,Lactate dehydrogenase 1 [Enzymatic activity/volume] in Serum or Plasma
6156-4,3002479,Goosefoot IgE Ab [Units/volume] in Serum
6158-0,3019406,Latex IgE Ab [Units/volume] in Serum
14803-1,3018994,Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid by Lactate to pyruvate reaction
18262-6,3009966,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay
2089-1,3028437,Cholesterol in LDL [Mass/volume] in Serum or Plasma
10368-9,3028406,Lead [Mass/volume] in Capillary blood
5798-4,3019169,Leucine crystals [Presence] in Urine sediment by Light microscopy
5799-2,3000348,Leukocyte esterase [Presence] in Urine by Test strip
10501-5,3009214,Lutropin [Units/volume] in Serum or Plasma
2572-6,3023221,Lipoprotein lipase [Enzymatic activity/volume] in Serum or Plasma
6165-5,3036031,Lobster IgE Ab [Units/volume] in Serum
26478-8,3002030,Lymphocytes %
26479-6,3020951,Lymphocytes/100 leukocytes in Cerebral spinal fluid
738-5,3021502,Macrocytes [Presence] in Blood by Light microscopy
30426-1,3028502,Macrophages/100 leukocytes in Cerebral spinal fluid
19123-9,3001420,Magnesium [Mass/volume] in Serum or Plasma
6168-9,3023346,Maple IgE Ab [Units/volume] in Serum
6169-7,3009208,Meadow Fescue IgE Ab [Units/volume] in Serum
786-4,3009744,Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume] by Automated count
785-6,3012030,Erythrocyte mean corpuscular hemoglobin [Entitic mass] by Automated count
30428-7,3024731,MCV
32623-1,3043111,Platelet mean volume [Entitic volume] in Blood by Automated count
35079-3,3031173,Mesothelial cells [#/volume] in Body fluid
28541-1,3002179,Metamyelocytes %
30366-9,3009788,Metamyelocytes/100 leukocytes in Cerebral spinal fluid
38917-1,3042194,Human metapneumovirus RNA [Presence] in Unspecified specimen by Probe and target amplification method
2614-6,3007930,Methemoglobin/Hemoglobin.total in Blood
14957-5,3000034,Microalbumin urine
49023-5,3049506,Microalbumin [Mass/time] in Urine collected for unspecified duration
14959-1,3001802,Microalbumin/Creatinine [Mass Ratio] in Urine
741-9,3037885,Microcytes [Presence] in Blood by Light microscopy
7258-7,3001488,Cow milk IgE Ab [Units/volume] in Serum
53848-8,3042529,Mixed cellular casts [#/area] in Urine sediment by Microscopy high power field
26485-3,3019069,Monocytes %
26486-1,3037577,Monocytes/100 leukocytes in Cerebral spinal fluid
35492-8,3033966,Methicillin resistant Staphylococcus aureus (MRSA) DNA [Presence] by Probe and target amplification method
29257-3,3002482,Mycoplasma pneumoniae DNA [Presence] in Unspecified specimen by Probe and target amplification method
26498-6,3017181,Myelocytes %
30447-7,3021345,Myelocytes/100 leukocytes in Cerebral spinal fluid
21418-9,3001307,Neutrophil Ab [Presence] in Serum
5802-4,3021601,Nitrite [Presence] in Urine by Test strip
43396-1,3044491,Cholesterol non HDL [Mass/volume] in Serum or Plasma
48778-5,3053315,Nucleated erythrocytes/100 cells in Cerebral spinal fluid
19048-8,3034708,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood
20564-1,3013502,Oxygen saturation in Blood
11556-8,3027315,Oxygen (O2) pressure in blood
6189-5,3006734,White Oak IgE Ab [Units/volume] in Serum
6194-5,3007456,Orange IgE Ab [Units/volume] in Serum
6195-2,3006304,Cocksfoot IgE Ab [Units/volume] in Serum
630-4,3026008,Bacteria identified in Urine by Culture
2692-2,3008295,Osmolality of Serum or Plasma
32760-1,3030078,Cell type in Unspecified specimen
58472-2,40761572,Other cells [#] in Body fluid by Manual count
38459-4,3051205,Crystals [#/area] in Urine sediment by Microscopy high power field
774-0,3027920,Ovalocytes [Presence] in Blood by Light microscopy
57800-5,40760909,Oxygen content in Blood by calculation
11559-2,3014646,Fractional oxyhemoglobin in Blood
7795-8,3019761,Pappenheimer bodies [Presence] in Blood by Light microscopy
41010-0,3038297,Parainfluenza virus 4 RNA [Presence] in Unspecified specimen by Probe and target amplification method
29908-1,3025634,Parainfluenza virus 1 RNA [Presence] in Unspecified specimen by Probe and target amplification method
29909-9,3012158,Parainfluenza virus 2 RNA [Presence] in Unspecified specimen by Probe and target amplification method
29910-7,3006262,Parainfluenza virus 3 RNA [Presence] in Unspecified specimen by Probe and target amplification method
8310-5,3020891,Body temperature
6206-7,3012494,Peanut IgE Ab [Units/volume] in Serum
6207-5,3027020,Pear IgE Ab [Units/volume] in Serum
6208-3,3013226,Pecan or Hickory Nut IgE Ab [Units/volume] in Serum
7369-2,3022675,Perennial rye grass IgE Ab [Units/volume] in Serum
11558-4,3010421,pH (acidity) in blood
5803-2,3022621,pH of Urine by Test strip
22733-0,3013294,Phosphate [Moles/volume] in Unspecified specimen
6218-2,3021661,Pineapple IgE Ab [Units/volume] in Serum
7613-3,3027165,Pistachio IgE Ab [Units/volume] in Serum
2345-7,3004501,Glucose lab
26515-7,3007461,Platelet count
31943-4,3003221,Pneumocystis jiroveci Ag [Presence] in Unspecified specimen
3184-9,3016948,Activated clotting time in Blood by Coagulation assay
779-9,3011368,Poikilocytosis [Presence] in Blood by Light microscopy
10378-8,3011987,Polychromasia [Presence] in Blood by Light microscopy
2823-3,3023103,Potassium serum/plasma
2112-1,3009417,Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine
2839-9,3027144,Progesterone [Mass/volume] in Serum or Plasma
26524-9,3021440,Promyelocytes %
30467-5,3036234,Promyelocytes/100 leukocytes in Cerebral spinal fluid
27298-9,3017756,Protein [Units/volume] in Urine
2890-2,3001582,Protein/Creatinine [Mass Ratio] in Urine
5902-2,3034426,Prothrombin time - patient
3173-2,3013466,aPTT in Blood by Coagulation assay
18225-3,3014029,Erythrocyte shape [Morphology] in Blood
29247-4,3021374,Sirolimus [Mass/volume] in Blood
18481-2,3033319,Streptococcus pyogenes Ag [Presence] in Throat
47277-9,3049383,Erythrocyte distribution width [Ratio] in Cord blood
30385-9,3002385,Erythrocyte distribution width [Ratio]
30384-2,3002888,Erythrocyte distribution width [Entitic volume]
26477-0,3003137,Lymphocytes Variant [#/volume] in Blood
789-8,3020416,Erythrocytes [#/volume] in Blood by Automated count
26455-6,3010910,Erythrocytes [#/volume] in Body fluid
51790-4,3042421,RBC casts [#/area] in Urine sediment by Microscopy high power field
6228-1,3002463,Red top grass IgE Ab [Units/volume] in Serum
12248-1,3008026,Epithelial cells.renal [Presence] in Urine sediment by Light microscopy
13317-3,3019902,Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture
625-4,3025941,Bacteria identified in Stool by Culture
630-4,3026008,Bacteria identified in Urine by Culture
17849-1,3007124,Reticulocytes/100 erythrocytes in Blood by Automated count
17857-4,3026797,Rheumatoid factor [Titer] in Serum
7993-9,3025023,Rhinovirus RNA [Presence] in Unspecified specimen by Probe and target amplification method
6230-7,3023235,Rice IgE Ab [Units/volume] in Serum
17547-1,3008284,Rotavirus Ag [Presence] in Stool
8012-7,3009161,Rotavirus dsRNA [Presence] in Stool by Probe and target amplification method
60271-4,40763326,Respiratory syncytial virus RNA [Presence] in Isolate by Probe and target amplification method
7674-5,3007542,Rye IgE Ab [Units/volume] in Serum
48806-4,3050147,Salmonella sp+Shigella sp+Escherichia coli enterotoxic identified in Stool by Organism specific culture
7691-9,3024469,Scallop IgE Ab [Units/volume] in Serum
800-3,3019880,Schistocytes [Presence] in Blood by Light microscopy
30341-2,3015183,Erythrocyte sedimentation rate
26505-8,3017354,Neutrophils.segmented/100 leukocytes in Blood
26506-6,3017900,Neutrophils.segmented/100 leukocytes in Cerebral spinal fluid
2991-8,3016049,Testosterone Free [Mass/volume] in Serum or Plasma
6242-2,3020934,Sesame Seed IgE Ab [Units/volume] in Serum
2942-1,3011099,Sex hormone binding globulin [Mass/volume] in Serum or Plasma
6246-3,3021226,Shrimp IgE Ab [Units/volume] in Serum
801-1,3020412,Sickle cells [Presence] in Blood by Light microscopy
2951-2,3019550,Sodium serum/plasma
2947-0,3000285,Sodium [Moles/volume] in Blood
6248-9,3015076,Soybean IgE Ab [Units/volume] in Serum
2965-2,3033543,Specific gravity of Urine
802-9,3005481,Spherocytes [Presence] in Blood by Light microscopy
12258-0,3008325,Epithelial cells.squamous [Presence] in Urine sediment by Light microscopy
10380-4,3024783,Stomatocytes [Presence] in Blood by Light microscopy
6261-2,3017165,Sweet Vernal grass IgE Ab [Units/volume] in Serum
32998-7,3046870,Tissue transglutaminase IgG Ab [Units/volume] in Serum
11253-2,3026250,Tacrolimus [Mass/volume] in Blood
10381-2,3025616,Target cells [Presence] in Blood by Light microscopy
7791-7,3000456,Dacrocytes [Presence] in Blood by Light microscopy
2986-8,3008893,Testosterone [Mass/volume] in Serum or Plasma
13452-8,3023017,Iron/Transferrin [Mass Ratio] in Serum or Plasma
3016-3,3009201,Thyrotropin [Units/volume] in Serum or Plasma
3026-2,3016991,Thyroxine (T4) [Mass/volume] in Serum or Plasma
3021-3,3020924,Thyroxine binding globulin [Mass/volume] in Serum or Plasma
6265-3,3003888,Timothy IgE Ab [Units/volume] in Serum
6266-1,3007518,Tomato IgE Ab [Units/volume] in Serum
1975-2,3024128,Total Bilirubin serum/plasma
11282-1,3002317,Cells Counted Total [#] in Blood
38256-4,3034578,Cells Counted Total [#] in Body fluid
34728-6,3031147,"Carbon dioxide, total [Moles/volume] in Blood by calculation"
718-7,3000963,Hemoglobin
2885-2,3020630,Protein serum/plasma
2880-3,3019473,Protein [Mass/volume] in Cerebral spinal fluid
803-7,3004381,Toxic granules [Presence] in Blood by Light microscopy
3034-6,3004789,Transferrin [Mass/volume] in Serum or Plasma
8249-5,3028475,Transitional cells [Presence] in Urine sediment by Light microscopy
2571-8,3022192,Triglyceride [Mass/volume] in Serum or Plasma
5814-9,3001137,Triple phosphate crystals [Presence] in Urine sediment by Light microscopy
48426-1,3052931,Troponin T.cardiac [Presence] in Blood
48425-3,3048529,Troponin T.cardiac [Mass/volume] in Blood
10839-9,3021337,Troponin I.cardiac [Mass/volume] in Serum or Plasma
6270-3,3015142,Tuna IgE Ab [Units/volume] in Serum
5815-6,3021314,Tyrosine crystals [Presence] in Urine sediment by Light microscopy
5770-3,3018834,Bilirubin.total [Presence] in Urine by Test strip
33051-4,3045424,Erythrocytes [Presence] in Urine
5797-6,3023539,Ketones [Mass/volume] in Urine by Test strip
5799-2,3000348,Leukocyte esterase [Presence] in Urine by Test strip
5802-4,3021601,Nitrite [Presence] in Urine by Test strip
5804-0,3005897,Protein [Mass/volume] in Urine by Test strip
3107-0,3007950,Urobilinogen [Mass/volume] in Urine
3094-0,3013682,Urea nitrogen serum/plasma
3084-1,3037556,Urate [Mass/volume] in Serum or Plasma
5817-2,3036882,Urate crystals [Presence] in Urine sediment by Light microscopy
12454-5,3004372,Urate crystals amorphous [Presence] in Urine sediment by Light microscopy
630-4,3026008,Bacteria identified in Urine by Culture
5778-6,3027162,Color of Urine
5782-8,3025590,Crystals [type] in Urine sediment by Light microscopy
20453-7,3011422,Epithelial cells [Presence] in Urine sediment by Light microscopy
8247-9,3006175,Mucus [Presence] in Urine sediment by Light microscopy
25158-7,3033486,Oval fat bodies (globules) [Presence] in Urine sediment by Light microscopy
33051-4,3045424,Erythrocytes [Presence] in Urine
11279-7,3036005,Urine sediment comments by Light microscopy Narrative
8248-7,3026796,Spermatozoa [Presence] in Urine sediment by Light microscopy
5792-7,3024629,Glucose urine dipstick
32724-7,3028897,Trichomonas sp [Presence] in Urine by Light microscopy
50233-6,3030114,Leukocyte clumps [#/area] in Urine sediment by Automated count
5821-4,3035583,Leukocytes [#/area] in Urine sediment by Microscopy high power field
21033-6,3020830,Yeast.budding [Presence] in Urine sediment
41865-7,3033741,Yeast.hyphae [Presence] in Urine sediment by Light microscopy
18319-4,3033907,Neutrophils.vacuolated [Presence] in Blood by Light microscopy
4092-3,3018920,Vancomycin [Mass/volume] in Serum or Plasma --trough
5886-7,3001849,Virus identified in Stool by Culture
41461-5,3028793,Virus identified in Unspecified specimen
2999-1,3024120,Thiamine [Mass/volume] in Serum or Plasma
1989-3,3020149,Calcidiol [Mass/volume] in Serum or Plasma
2091-7,3007352,Cholesterol in VLDL [Mass/volume] in Serum or Plasma
6273-7,3006451,Walnut IgE Ab [Units/volume] in Serum
41223-9,3038235,Waxy casts [#/area] in Urine sediment by Microscopy high power field
6276-0,3027231,Wheat IgE Ab [Units/volume] in Serum
6278-6,3028352,White Ash IgE Ab [Units/volume] in Serum
49103-5,3052989,WBC casts [#/area] in Urine sediment by Microscopy high power field
26464-8,3010813,White Blood cell (WBC) count (leukocyte)
26466-3,3022174,Leukocytes [#/volume] in Body fluid
